"VF_ENG","VF_SPA","VF_Total","Speaking.1","Speaking.2","Reading.1","Reading.2","Writing.1","Writing.2","Understanding.1","Understanding.2","Gender","Age","Q13_1_2","Q14","Q14_1_1","Q14_1_2","Q14_1_3","Q14_1_4","Q14_2_1","Q14_2_2","Q14_2_3","Q14_2_4","Q14_3_1","Q14_3_2","Q14_3_3","Q14_3_4","Q14_4_1","Q14_4_2","Q14_4_3","Q14_4_4","Q16_1_1","Q16_1_2","Q19_1_1","Q19_2_1","Q20","Subject"
62,45,107,10,10,9,9,8,10,10,10,1,23,-1,-1,-1,-1,100,0,0,0,100,0,0,0,80,20,1,1,70,30,-1,1,0,6,0,"112"
60,40,100,10,7,10,7,10,8,10,9,0,24,1,1,1,1,0,100,1,1,0,100,1,1,0,100,1,1,0,100,1,-1,0,10,0,"108"
47,48,95,5,9,6,10,5,10,8,10,1,38,0,0,-1,-1,95,5,-1,-1,95,5,-1,1,50,50,-1,1,50,50,-1,1,0,8,0,"109"
33,34,67,9,9,9,8,7,7,9,8,1,18,-1,0,-1,-1,100,0,-1,-1,90,10,-1,-1,70,30,1,1,60,40,-1,1,1,5,0,"110"
38,15,53,7,10,5,8,5,10,8,9,0,22,-1,0,-1,-1,95,5,-1,-1,85,15,1,1,10,90,1,1,20,80,-1,1,1,7,0,"111"
33,32,65,9,7,7,7,7,8,9,8,1,20,-1,-1,-1,-1,100,0,-1,-1,75,25,-1,-1,75,25,-1,-1,75,25,-1,1,0,5,0,"113"
46,45,91,10,10,10,10,7,8,10,10,0,20,-1,-1,-1,-1,100,0,-1,-1,50,50,1,1,40,60,1,-1,50,50,-1,1,1,5,0,"114"
34,54,88,10,10,10,10,8,10,10,10,1,20,-1,-1,-1,-1,100,0,-1,1,100,50,1,1,100,100,1,1,100,100,-1,1,0,5,0,"115"
49,32,81,8,8,10,10,7,8,9,10,1,28,-1,0,-1,-1,100,0,-1,-1,90,10,1,-1,60,40,1,1,40,60,-1,1,0,5,0,"116"
45,27,72,10,8,10,6,9,5,9,6,1,18,-1,0,-1,1,90,10,1,1,90,10,1,1,90,10,1,1,90,10,1,-1,0,0,0,"117"
39,24,63,10,10,8,9,7,8,10,10,1,26,-1,0,-1,-1,80,20,-1,-1,70,30,-1,1,60,40,1,1,30,70,-1,1,0,5,0,"118"
56,31,87,9,8,8,9,9,9,10,9,1,19,-1,-1,-1,-1,100,0,-1,-1,100,0,-1,-1,70,30,1,-1,50,50,-1,1,0,5,1,"119"
41,27,68,7,9,5,8,5,7,10,10,1,23,0,0,-1,-1,100,0,-1,-1,70,30,-1,1,50,50,1,1,20,80,-1,1,0,6,0,"120"
60,40,100,9,9,9,10,8,10,9,10,1,34,-1,0,-1,1,80,20,1,1,30,70,1,1,20,80,1,1,20,80,-1,1,0,1,0,"121"
60,46,106,9,9,9,9,9,9,9,9,1,39,-1,0,-1,-1,100,0,-1,0,100,0,0,0,100,50,0,0,100,50,-1,1,0,8,8,"122"
57,42,99,8,8,8,8,7,8,9,7,1,20,-1,0,-1,-1,100,0,-1,-1,100,0,0,-1,50,50,0,0,30,70,-1,1,0,9,7,"123"
58,40,98,9,9,9,9,9,8,10,8,1,26,-1,0,-1,-1,80,20,-1,1,80,20,1,1,60,40,-1,-1,90,10,-1,1,0,5,0,"124"
50,50,100,5,3,5,7,5,7,5,10,1,44,-1,-1,-1,-1,100,100,-1,-1,100,100,-1,-1,100,100,0,0,40,40,-1,-1,0,11,15,"125"
45,37,82,7,10,7,10,7,10,9,10,0,22,-1,0,-1,-1,100,0,-1,-1,80,20,1,1,80,20,1,1,40,60,-1,1,0,0,0,"126"
33,27,60,10,5,10,2,10,3,10,8,1,23,-1,0,-1,1,100,100,-1,1,100,100,-1,-1,100,100,-1,1,100,100,1,-1,0,8,0,"127"
39,35,74,8,9,8,10,8,10,10,10,1,21,-1,-1,-1,-1,100,0,-1,1,75,25,1,1,75,25,1,1,75,25,-1,1,0,6,4,"128"
50,35,85,7,10,6,10,7,10,9,10,1,18,-1,0,-1,-1,80,20,1,1,80,20,1,1,25,75,1,1,15,85,-1,1,0,5,0,"129"
47,39,86,9,10,9,10,9,10,9,10,1,23,-1,0,-1,-1,100,0,1,1,90,10,1,1,90,10,1,1,90,10,-1,1,0,4,4,"130"
45,33,78,0,10,0,10,0,9,0,10,1,23,-1,0,-1,-1,100,10,-1,-1,80,20,0,1,60,25,-1,-1,80,10,0,-1,0,3,3,"131"
37,37,74,8,9,9,8,8,5,8,9,1,23,-1,0,0,-1,50,5,0,-1,50,20,0,-1,50,20,0,1,50,40,1,-1,4,5,1,"132"
71,74,145,10,9,10,9,10,8,10,8,1,48,-1,-1,-1,-1,98,2,-1,-1,100,0,1,-1,90,10,1,1,10,90,-1,1,0,11,0,"133"
73,51,124,3,3,5,5,4,2,6,7,1,25,-1,-1,-1,-1,99,1,-1,1,90,10,1,1,80,20,1,1,80,20,1,-1,1,13,0,"134"
48,30,78,7,10,6,10,6,10,8,10,1,25,0,0,-1,-1,99,1,1,1,45,55,1,1,80,20,1,1,70,30,-1,1,0,4,4,"135"
46,39,85,8,8,9,7,7,7,9,9,1,21,-1,0,-1,-1,99,1,-1,1,70,30,1,1,60,40,1,1,50,50,-1,1,0,6,0,"136"
53,41,94,8,8,7,8,6,8,9,9,1,20,-1,0,-1,-1,99,1,-1,-1,80,40,1,1,75,20,1,1,80,30,-1,1,0,4,0,"137"
44,38,82,10,8,10,9,10,8,10,9,1,21,-1,-1,-1,-1,99,1,-1,-1,99,1,-1,-1,85,15,1,1,80,20,-1,1,21,11,14,"138"
65,36,101,8,9,8,9,7,9,10,9,0,21,0,0,-1,-1,75,15,1,1,45,55,-1,1,80,20,-1,1,70,30,-1,1,0,0,0,"139"
68,67,135,10,9,10,9,10,9,10,8,1,45,-1,-1,-1,-1,100,0,-1,-1,100,0,-1,-1,100,0,1,1,50,50,-1,1,0,13,18,"140"
28,31,59,8,8,10,8,9,8,10,9,1,18,-1,-1,-1,-1,99,1,-1,-1,99,1,1,-1,80,20,1,1,80,20,-1,1,0,12,13,"141"
41,35,76,5,10,4,10,4,8,7,10,1,27,-1,-1,-1,-1,90,10,0,1,90,10,0,0,80,20,0,1,20,90,-1,1,0,5,0,"142"
41,34,75,9,9,8,8,7,8,9,9,1,21,-1,-1,-1,-1,99,1,-1,1,90,10,1,1,80,20,1,1,70,30,-1,1,0,5,0,"143"
41,24,65,8,9,8,9,4,9,10,9,1,18,-1,-1,-1,-1,99,5,-1,0,99,10,0,1,85,50,0,1,85,85,-1,1,0,5,0,"144"
